study_degree
id;name
B;(predbolonjski) visokošolski
C;(predbolonjski) univerzitetni
F;(predbolonjski) magistrski
G;(predbolonjski) doktorski
J;1. stopnja: visokošolski strokovni
K;1. stopnja: univerzitetni
L;2. stopnja: magistrski
M;3. stopnja: doktorski
71;visokošolski (univerzitetni) 
61;višješolski študij
