part_of_curriculum
id;type_of_curriculum;module_name
1;obv;NULL
2;siz;NULL
3;piz;NULL
4;mod;Informacijski sistemi
5;mod;Obvladovanje informatike
6;mod;Razvoj programske opreme
7;mod;Računalniška omrežja
8;mod;Računalniški sistemi
9;mod;Algoritmi in sistemski programi
10;mod;Umetna inteligenca
11;mod;Medijske tehnologije
